user_id,business_id,date,stars
A2JGzkvNjckSmps_4FbKWw,Xg5qEQiB-7L6kGJ5F4K3bQ,2014/3/18 1:14,5
rypcWiSNGM0suWsiSLh9xA,4RoTEeqB_MNn6yaqZmlZHg,2015/8/29 18:32,4
Dgk0Wdoh7HPjhKQEPBU_jQ,ZOmf-3NN4Z59b2Fw6VAM7g,2015/9/14 16:33,3
FIk4lQQu1eTe2EpzQ4xhBA,HK2Ki-PvnNN-YMTlX1uSVA,2012/9/29 2:03,4
VizhcyMWWPz3UDXEBeix4w,UPIYuRaZvknINOd1w8kqRQ,2011/6/10 20:35,3
2EuPAGalYnP7eSxPgFCNDg,E83nSU_y9zedOzQnkTjV1g,2017/8/14 18:56,2
WXlxViTwXHPBvhioljN9PQ,IRzY7yoBqoHaZNNo8WiWQQ,2016/4/30 14:42,4
cMEtAiW60I5wE_vLfTxoJQ,DESv2ys6SjBKA4SyDtJvxw,2012/6/26 0:44,4
DK57YibC5ShBmqQl97CKog,d8QdPn1vD8C7n5RORyk9nA,2015/11/10 22:56,4
CrEBVkzIQs7tS-wWfaCjNQ,f4x1YBxkLrZg652xt2KR5g,2016/3/17 7:16,1
BI4jBJVto2tEQ0NiaR0rNQ,E83nSU_y9zedOzQnkTjV1g,2015/12/1 5:57,3
6ZC-0LfOAGwaFc5XPke74w,AfEOC5LlBeMt708QEQUihw,2013/3/4 5:10,3
wmyoMUiW6YU9Audm0lACDg,pk3C3zEvBWl8Pfby1HjvUw,2018/4/30 5:51,4
22dqLO1If5t3j06a2gd7lA,zJGtD3y-pAIGNId4codEEg,2016/10/9 14:26,4
T9QzRoP0LZYU7yar41Q7ig,ukCTLs6T8LY1eUBXiAlmCg,2019/1/8 23:29,4
L8cvMZLWmM4qWTl9SkxJ8g,zoODlH40edpJYLPLkHilNA,2013/6/9 1:27,5
xLoEhU6zvFzcc0erH7gfyg,VGWEpMEkzQopS5lUNd06Sw,2013/10/23 5:39,1
cTkwhMLSavNOO_swPKf-ZA,NAPuzJcanOp91dE4GXPOow,2016/1/17 19:52,3
YfvMjY-G6y86Ov2tS5Txww,jsuUmIEefPjV__ads62Z5w,2010/8/19 18:30,5
qNeMBnzJc3Kwk8Z39TDZEg,n8Zqqhff-2cxzWt_nwhU2Q,2018/4/10 23:13,4
NjNJ1JLnMlOfnDI6Oz6Qew,9M6eqYZlyBMo8K9QztXcIA,2012/11/10 6:26,3
ZhqGf9IFlKQU5rCdswQ_0A,0PMKMyfX1j7Nc4esk1RaMg,2013/9/15 4:57,4
KGsXnYHvYddGaL_jyl0DMQ,LtNgP4FqXp5nMFOHErK8cw,2010/1/7 1:12,3
KFZISl5mOUJ6bu3qCUrO-g,L_ZLtfHvfzfoNVQ0-okTXg,2012/9/21 17:53,4
834vg5H4ZeNnnwEfUrpJzA,qqs7LP4TXAoOrSlaKRfz3A,2016/7/1 21:43,5
0Md3sO3sRR3GE4eQLtqZbw,Em0MDcxhSYZm7JVpR6WyJA,2017/9/29 5:19,3
Yg08tRMxm0eaL-rXyNIAHw,I6u-OhmI_IUltexEOSCKzg,2012/10/28 8:30,3
U4INQZOPSUaj8hMjLlZ3KA,vtkJXE_Vdz27rWm6mfAw6Q,2014/4/9 2:04,2
MMxRLgkd-MgwowmggmR2Dg,02pL_Xj3sTO_lHcWqUcwKA,2017/12/31 10:20,2
0mKUbIUXOvH0cHcGQ1KGqg,p3YqOYELqXtLyHz9T49p_w,2013/11/26 7:43,3
3Y7KI-jzy8rMgzAxGgfNDQ,xIbtbAJLWLNZcqfqF4f-Nw,2016/7/31 23:51,5
T_RiQ-TOeZf8N2kiCNCiSg,OJdufUU3hVabgviIBHksYw,2008/1/15 5:26,3
kjeX2RXvW7RhBbD2QLd5jA,E9IPxXY6pS2gTW2FBkAJmg,2011/11/21 0:20,4
